enter_1,stop_drop,take_profit,entry_cap,t_enter,stop_confirm,stable,pnl,mdd,score,janfeb,mar03,sim,val,W,L,fills
0.9,0.1,0.98,0.9,180,20,30,-2.35,-5.0,-4.85,-1.5,0.7,-1.55,-0.85,10,4,28
0.8,0.08,0.98,0.9,180,30,60,-1.39,-6.99,-4.89,2.8,-0.49,-3.7,-4.19,37,14,104
0.85,0.08,0.98,0.95,180,20,30,-1.67,-6.5,-4.92,-4.1,3.31,-0.88,2.43,68,19,176
0.9,0.1,0.99,0.95,450,0,60,-1.59,-6.66,-4.92,1.47,0.71,-3.77,-3.06,71,25,196
0.9,0.1,0.98,0.9,300,20,30,-1.55,-6.9,-5.0,-6.2,2.6,2.05,4.65,22,7,58
0.8,0.06,0.99,0.9,180,30,60,-0.7,-8.6,-5.0,2.3,0.62,-3.62,-3.0,36,15,104
0.85,0.06,0.98,0.9,180,0,30,-2.04,-6.0,-5.04,-2.2,2.51,-2.35,0.16,30,23,106
0.9,0.08,0.99,0.9,180,20,30,-2.5,-5.2,-5.1,-1.6,0.8,-1.7,-0.9,10,4,28
0.9,0.12,0.99,0.9,300,0,60,-2.5,-5.2,-5.1,0.6,0.8,-3.9,-3.1,10,6,32
0.8,0.08,0.98,0.9,300,30,30,2.33,-14.91,-5.13,7.8,3.94,-9.41,-5.47,95,37,264
0.9,0.12,0.98,0.95,450,30,60,-1.15,-7.96,-5.13,-1.89,0.1,0.64,0.74,84,12,196
0.9,0.08,0.98,0.9,180,20,30,-2.55,-5.2,-5.15,-1.7,0.7,-1.55,-0.85,10,4,28
